Timestamp,DetectedObjects,ViolatingObjects,EnvironmentScore
2020-08-03 13:40:59,3,1,0.95
2020-08-03 13:40:59,2,0,0.98
2020-08-03 13:41:00,2,0,0.98
2020-08-03 13:41:01,3,1,0.95
2020-08-03 13:41:01,3,1,0.95
2020-08-03 13:41:02,2,0,0.98
2020-08-03 13:41:02,2,0,0.98
2020-08-03 13:41:03,2,0,0.98
2020-08-03 13:41:03,3,0,0.96
2020-08-03 13:41:04,3,0,0.96
2020-08-03 13:41:04,3,0,0.96
2020-08-03 13:41:05,3,0,0.96
2020-08-03 13:41:06,3,1,0.95
2020-08-03 13:41:06,3,1,0.95
2020-08-03 13:41:07,5,4,0.89
2020-08-03 13:41:07,4,2,0.92
2020-08-03 13:41:08,4,2,0.92
2020-08-03 13:43:36,4,1,0.94
2020-08-03 13:43:37,5,3,0.9
2020-08-03 13:43:37,5,1,0.92
2020-08-03 13:43:38,5,1,0.92
2020-08-03 13:43:38,4,1,0.94
2020-08-03 13:43:39,6,4,0.88
2020-08-03 13:43:39,6,4,0.88
2020-08-03 13:43:40,6,4,0.88
2020-08-03 13:43:40,5,3,0.9
2020-08-03 13:43:41,5,4,0.89
2020-08-03 13:43:42,5,3,0.9
2020-08-03 13:43:42,5,3,0.9
2020-08-03 13:43:43,4,3,0.91
2020-08-03 13:43:43,4,3,0.91
2020-08-03 13:43:44,5,2,0.91
2020-08-03 13:43:44,6,6,0.85
2020-08-03 13:43:45,7,5,0.85
2020-08-03 13:43:45,6,3,0.89
2020-08-03 13:43:46,5,2,0.91
2020-08-03 13:43:46,4,1,0.94
2020-08-03 13:43:47,4,1,0.94
2020-08-03 13:43:47,2,0,0.98
2020-08-03 13:43:48,3,1,0.95
2020-08-03 13:43:49,2,0,0.98
2020-08-03 13:43:49,3,1,0.95
2020-08-03 13:43:50,3,1,0.95
2020-08-03 13:43:50,2,0,0.98
2020-08-03 13:43:51,2,0,0.98
2020-08-03 13:43:51,3,0,0.96
2020-08-03 13:43:52,3,0,0.96
2020-08-03 13:43:52,3,0,0.96
2020-08-03 13:43:53,3,1,0.95
2020-08-03 13:43:53,5,4,0.89
2020-08-03 13:43:54,4,2,0.92
2020-08-03 13:43:54,3,1,0.95
2020-08-03 13:43:55,3,1,0.95
2020-08-03 13:43:55,2,0,0.98
2020-08-03 13:43:56,2,1,0.96
2020-08-03 13:43:56,2,0,0.98
2020-08-03 15:13:51,4,1,0.94
